customer_id,segment_name,recency_days,frequency,monetary_value,R_Score,F_Score,M_Score,RFM_Score,ticket_count,avg_resolution_hours,avg_sentiment_score,reopened_tickets,return_rate,email_opens_30d,campaign_clicks_30d,engagement_score,category_diversity,loyalty_tier,avg_discount_pct
CUST00046,Regular Customers,187,1,489.87,2,1,1,4,0,0,0,0,0,10,0,10,1,Gold,0.13
CUST00047,Dormant,264,1,764.43,1,1,1,3,0,0,0,0,0,3,1,4,1,Gold,0.16
CUST00048,Loyal Customers,10,5,2860.14,5,4,3,12,1,30,-0.08,0,0.2,0,0,0,3,Silver,0.314
CUST00049,Discount Sensitive,38,2,1172.61,4,1,2,7,0,0,0,0,0.5,3,1,4,2,No Tier,0.405
CUST00050,Regular Customers,55,4,3169.58,3,3,4,10,1,57.7,-1,0,0.25,3,1,4,3,Gold,0.29500000000000004
CUST00051,High Value Unhappy,270,4,4444.3,1,3,4,8,2,42.2,-0.385,0,0,8,2,10,3,No Tier,0.3525
CUST00052,Regular Customers,115,3,2807.14,2,2,3,7,1,18.7,-1,0,0.3333333333333333,0,0,0,2,Silver,0.21
CUST00053,Champions,9,6,5422.92,5,4,5,14,2,47.150000000000006,-0.565,1,0,3,1,4,3,Silver,0.3016666666666667
CUST00054,Regular Customers,22,2,1154.37,4,1,1,6,0,0,0,0,0.5,0,0,0,2,No Tier,0.195
CUST00055,Regular Customers,0,4,1707.24,5,3,2,10,1,46.3,-1,0,0,7,2,9,2,No Tier,0.2525
CUST00056,Loyal Customers,52,5,4169.73,3,4,4,11,1,19.9,-0.08,0,0,0,0,0,3,No Tier,0.286
CUST00057,Regular Customers,196,2,2510.83,2,1,3,6,0,0,0,0,0,9,1,10,2,No Tier,0.245
CUST00058,Loyal Customers,48,5,3930.75,3,4,4,11,0,0,0,0,0,8,4,12,4,No Tier,0.202
CUST00059,Champions,8,5,5050.94,5,4,5,14,0,0,0,0,0,0,0,0,3,Silver,0.32599999999999996
CUST00060,Dormant,205,1,293.22,1,1,1,3,0,0,0,0,0,0,0,0,1,No Tier,0.36
CUST00061,Discount Sensitive,2,5,2511.7200000000003,5,4,3,12,1,23.6,-0.33,0,0,2,1,3,4,No Tier,0.33999999999999997
CUST00062,Loyal Customers,49,5,3135.08,3,4,4,11,1,12.6,-0.28,0,0,7,1,8,4,Silver,0.27
CUST00063,Dormant,276,1,397.69,1,1,1,3,1,19.1,-0.03,0,0,3,0,3,1,No Tier,0.22
CUST00064,Discount Sensitive,26,3,1634,4,2,2,8,0,0,0,0,0,0,0,0,3,No Tier,0.34
CUST00065,Regular Customers,0,4,3966.91,5,3,4,12,0,0,0,0,0,4,2,6,3,No Tier,0.1925
CUST00066,High Value Unhappy,380,5,4598.95,1,4,4,9,1,23.9,-1,0,0,5,1,6,5,No Tier,0.292
CUST00067,Regular Customers,123,2,1246.44,2,1,2,5,1,16.4,-0.24,0,0.5,4,2,6,2,Silver,0.19999999999999998
CUST00068,Dormant,406,3,2123.66,1,2,3,6,1,23.7,-1,0,0.3333333333333333,3,1,4,3,Silver,0.24333333333333332
CUST00069,Regular Customers,89,2,874.47,3,1,1,5,0,0,0,0,0,7,1,8,2,No Tier,0.225
CUST00070,Discount Sensitive,98,1,542.98,3,1,1,5,0,0,0,0,0,1,0,1,1,Gold,0.34
CUST00071,Regular Customers,92,1,2062.5,3,1,2,6,1,33,-0.29,0,0,6,2,8,1,No Tier,0.08
CUST00072,Regular Customers,150,4,2587.02,2,3,3,8,0,0,0,0,0,5,1,6,3,No Tier,0.1925
CUST00073,High Value Unhappy,44,7,6253.77,3,5,5,13,0,0,0,0,0,4,1,5,5,No Tier,0.15857142857142859
CUST00074,Discount Sensitive,25,5,2884.48,4,4,3,11,1,29.3,-0.35,0,0.2,2,1,3,4,Platinum,0.392
CUST00075,High Value Unhappy,43,11,7714.719999999999,3,5,5,13,4,27.125,-0.3525,1,0,0,0,0,6,No Tier,0.3172727272727273
CUST00076,Regular Customers,0,4,2888.0299999999997,5,3,3,11,0,0,0,0,0,0,0,0,3,No Tier,0.23
CUST00077,Discount Sensitive,169,1,394.32,2,1,1,4,0,0,0,0,0,0,0,0,1,No Tier,0.36
CUST00078,Dormant,199,1,894.45,1,1,1,3,1,25.7,-1,1,1,0,0,0,1,No Tier,0.42
CUST00079,Dormant,251,1,619.57,1,1,1,3,0,0,0,0,0,0,0,0,1,Silver,0.05
CUST00080,Regular Customers,7,4,2832.98,5,3,3,11,0,0,0,0,0,0,0,0,3,Gold,0.26249999999999996
CUST00081,Champions,40,9,5805.78,4,5,5,14,3,17.333333333333332,-0.833333333,1,0.2222222222222222,0,0,0,4,Silver,0.15222222222222223
CUST00082,Dormant,314,3,1671.25,1,2,2,5,0,0,0,0,0,7,3,10,2,No Tier,0.17
CUST00083,Discount Sensitive,149,2,806.87,2,1,1,4,1,11,-1,1,0.5,0,0,0,1,No Tier,0.33499999999999996
CUST00084,Dormant,227,1,1273.18,1,1,2,4,0,0,0,0,0,3,1,4,1,Silver,0.12
CUST00085,Regular Customers,74,1,1257.8,3,1,2,6,0,0,0,0,0,0,0,0,1,No Tier,0.2
CUST00086,Loyal Customers,39,6,3003.66,4,4,3,11,1,6.6,-0.48,0,0,5,2,7,2,Silver,0.265
CUST00087,Regular Customers,27,4,3610.9700000000003,4,3,4,11,0,0,0,0,0.25,0,0,0,4,No Tier,0.1825
CUST00088,High Value Unhappy,158,12,6774.5,2,5,5,12,1,17.1,-0.88,1,0,1,0,1,5,Gold,0.365
CUST00089,Dormant,225,2,2825.75,1,1,3,5,0,0,0,0,0,6,3,9,2,No Tier,0.25
CUST00090,Discount Sensitive,49,5,2498.83,3,4,3,10,1,18.5,-0.55,0,0,0,0,0,3,Platinum,0.354
CUST00091,Champions,17,5,5844.34,5,4,5,14,1,24.2,0.12,0,0.2,0,0,0,4,Platinum,0.186
CUST00092,Regular Customers,33,2,1155.25,4,1,1,6,0,0,0,0,0,0,0,0,2,No Tier,0.31
CUST00093,Regular Customers,145,1,759.64,2,1,1,4,0,0,0,0,0,9,4,13,1,Gold,0.12
CUST00094,At Risk,243,4,3557.43,1,3,4,8,2,4.35,-0.17,0,0,4,1,5,3,No Tier,0.1975
CUST00095,Discount Sensitive,125,1,372.65,2,1,1,4,1,5.3,-0.38,1,0,2,1,3,1,No Tier,0.41
CUST00096,Discount Sensitive,44,4,2403.64,3,3,3,9,1,32.9,-1,0,0.25,0,0,0,4,No Tier,0.34249999999999997
CUST00097,Champions,28,8,5040.67,4,5,5,14,2,45.4,-0.49,0,0.125,0,0,0,4,No Tier,0.37125
CUST00098,Dormant,244,2,1843.57,1,1,2,4,1,26.4,-0.25,0,0,0,0,0,2,No Tier,0.195
CUST00099,Loyal Customers,44,6,3861.8199999999997,3,4,4,11,1,23.3,-0.61,0,0,5,2,7,5,No Tier,0.16333333333333333
CUST00100,Regular Customers,2,3,2209.4,5,2,3,10,0,0,0,0,0.3333333333333333,0,0,0,1,No Tier,0.17666666666666667
CUST00101,At Risk,168,5,3514.87,2,4,4,10,2,28.299999999999997,-0.915,0,0,0,0,0,5,No Tier,0.274
CUST00102,New Customers,17,2,2048.62,5,1,2,8,0,0,0,0,0,1,0,1,1,No Tier,0.14
CUST00103,Regular Customers,6,3,2581.31,5,2,3,10,0,0,0,0,0,4,1,5,2,No Tier,0.2233333333333333
CUST00104,Regular Customers,153,1,955.63,2,1,1,4,0,0,0,0,0,3,0,3,1,No Tier,0.31
CUST00105,Regular Customers,39,2,2846.2999999999997,4,1,3,8,0,0,0,0,0,3,0,3,2,No Tier,0.19
CUST00106,High Value Unhappy,121,7,4352.11,2,5,4,11,1,51.6,-1,0,0,0,0,0,4,No Tier,0.2814285714285714
CUST00107,Regular Customers,31,4,3891.05,4,3,4,11,0,0,0,0,0,0,0,0,2,No Tier,0.15250000000000002
CUST00108,Regular Customers,104,1,1074.5,3,1,1,5,1,18.1,-0.73,0,1,0,0,0,1,No Tier,0.22
CUST00109,High Value Unhappy,59,6,4566.15,3,4,4,11,0,0,0,0,0,3,1,4,3,Silver,0.3466666666666667
CUST00110,Loyal Customers,95,6,3922.07,3,4,4,11,2,34.9,-0.565,1,0,0,0,0,4,No Tier,0.26333333333333336
CUST00111,Dormant,238,1,1135.09,1,1,1,3,0,0,0,0,0,1,0,1,1,Silver,0.23
CUST00112,Champions,33,9,6542.4,4,5,5,14,1,1.9,-0.31,0,0.2222222222222222,0,0,0,4,No Tier,0.22777777777777775
CUST00113,Regular Customers,7,3,2095.48,5,2,2,9,0,0,0,0,0,0,0,0,2,Silver,0.2833333333333333
CUST00114,High Value Unhappy,299,6,5133.53,1,4,5,10,1,26.8,-0.75,0,0,4,1,5,4,No Tier,0.265
CUST00115,Dormant,219,1,596.54,1,1,1,3,1,29.1,-0.77,0,0,10,2,12,1,Gold,0.14
CUST00116,High Value Unhappy,203,6,5635.9,1,4,5,10,0,0,0,0,0,4,2,6,5,No Tier,0.18666666666666668
CUST00117,Regular Customers,183,4,2534.33,2,3,3,8,0,0,0,0,0,0,0,0,4,Silver,0.16499999999999998
CUST00118,Regular Customers,13,4,2001.17,5,3,2,10,0,0,0,0,0,0,0,0,3,Silver,0.22999999999999998
CUST00119,Champions,5,6,4466.32,5,4,4,13,1,6,-0.07,0,0,0,0,0,3,No Tier,0.3083333333333333
CUST00120,Regular Customers,31,2,755.8399999999999,4,1,1,6,0,0,0,0,0,0,0,0,1,Silver,0.20500000000000002
CUST00121,Regular Customers,22,3,3028.88,4,2,3,9,0,0,0,0,0,3,1,4,1,Gold,0.21
CUST00122,Discount Sensitive,166,2,2048.93,2,1,2,5,0,0,0,0,0,10,4,14,2,Gold,0.36
CUST00123,Champions,28,7,3742.48,4,5,4,13,3,18.900000000000002,-0.47,0,0.14285714285714285,0,0,0,4,Silver,0.3171428571428571
CUST00124,Dormant,254,4,2570.5,1,3,3,7,0,0,0,0,0,0,0,0,2,No Tier,0.3375
CUST00125,Discount Sensitive,16,3,2455.21,5,2,3,10,0,0,0,0,0.3333333333333333,5,1,6,2,No Tier,0.3766666666666667
CUST00126,Discount Sensitive,117,2,1260.02,2,1,2,5,0,0,0,0,0,3,0,3,1,Silver,0.43
CUST00127,Regular Customers,17,3,1136.12,5,2,1,8,0,0,0,0,0,0,0,0,2,Silver,0.32666666666666666
CUST00128,Discount Sensitive,5,3,2233.06,5,2,3,10,0,0,0,0,0,0,0,0,1,No Tier,0.37333333333333335
CUST00129,Champions,31,5,4049.54,4,4,4,12,2,8.4,0.485,0,0.2,0,0,0,3,No Tier,0.32199999999999995
CUST00130,Regular Customers,56,2,1850.58,3,1,2,6,0,0,0,0,0,5,0,5,2,Gold,0.325
CUST00131,High Value Unhappy,127,6,6830.01,2,4,5,11,0,0,0,0,0,5,0,5,3,No Tier,0.29
CUST00132,High Value Unhappy,177,5,4876.780000000001,2,4,5,11,0,0,0,0,0,6,0,6,3,No Tier,0.346
CUST00133,Champions,11,10,7152.29,5,5,5,15,1,27.9,-0.53,0,0.1,5,1,6,5,No Tier,0.293
CUST00134,Champions,18,6,4696.0199999999995,4,4,4,12,3,21.266666666666666,-0.316666667,1,0.16666666666666666,8,0,8,3,No Tier,0.2866666666666667
CUST00135,Dormant,393,4,2534.18,1,3,3,7,0,0,0,0,0,4,1,5,3,No Tier,0.29000000000000004
CUST00136,Regular Customers,131,1,514.9,2,1,1,4,0,0,0,0,0,0,0,0,1,Gold,0.3
CUST00137,Dormant,237,2,1035.87,1,1,1,3,0,0,0,0,0,1,0,1,2,Silver,0.315
CUST00138,Regular Customers,35,2,1424.6100000000001,4,1,2,7,0,0,0,0,0.5,3,1,4,2,No Tier,0.27
CUST00139,Regular Customers,13,4,3008.66,5,3,3,11,2,37.6,-0.705,0,0,0,0,0,3,No Tier,0.3125
CUST00140,Champions,32,5,4083.36,4,4,4,12,2,24.200000000000003,-0.07,0,0,1,0,1,3,No Tier,0.28600000000000003
CUST00141,Regular Customers,19,2,1055.28,4,1,1,6,0,0,0,0,0,5,1,6,2,No Tier,0.19
CUST00142,Dormant,229,5,1880,1,4,2,7,0,0,0,0,0,0,0,0,4,No Tier,0.4
CUST00143,High Value Unhappy,50,7,7890.950000000001,3,5,5,13,0,0,0,0,0,2,1,3,4,Silver,0.17857142857142858
CUST00144,Champions,41,10,8510.65,4,5,5,14,3,18.566666666666666,-0.086666667,1,0.1,6,2,8,5,Gold,0.305
CUST00145,Regular Customers,90,1,502.35,3,1,1,5,0,0,0,0,0,0,0,0,1,No Tier,0.11
CUST00146,Champions,5,6,6990.9400000000005,5,4,5,14,1,1,-0.25,0,0.16666666666666666,5,1,6,5,Silver,0.19166666666666665
CUST00147,Regular Customers,26,4,3412.56,4,3,4,11,1,19.8,0.03,0,0,0,0,0,2,Platinum,0.215
CUST00148,Champions,14,5,3702.7,5,4,4,13,1,20.8,-0.61,1,0.2,2,1,3,4,No Tier,0.21600000000000003
CUST00149,Regular Customers,9,3,2362.6400000000003,5,2,3,10,0,0,0,0,0.3333333333333333,2,0,2,3,No Tier,0.22999999999999998
CUST00150,Discount Sensitive,34,5,2641.09,4,4,3,11,0,0,0,0,0,5,2,7,5,No Tier,0.392
CUST00151,High Value Unhappy,43,8,6240.6,3,5,5,13,3,24.099999999999998,-0.91,0,0,5,0,5,5,No Tier,0.30375
CUST00152,Champions,9,8,5508,5,5,5,15,4,32,-0.6925,0,0.125,7,3,10,3,Silver,0.3575
CUST00153,Discount Sensitive,25,3,1619.74,4,2,2,8,0,0,0,0,0,0,0,0,2,Gold,0.3633333333333333
CUST00154,Champions,41,10,8542.89,4,5,5,14,0,0,0,0,0,1,0,1,5,Gold,0.25
CUST00155,Discount Sensitive,31,4,2343.2799999999997,4,3,3,10,0,0,0,0,0,0,0,0,3,No Tier,0.39
CUST00156,High Value Unhappy,27,3,4831.42,4,2,5,11,1,2.8,0.43,0,0.3333333333333333,10,0,10,2,No Tier,0.17
CUST00157,Loyal Customers,60,5,2269.91,3,4,3,10,1,28.9,-0.21,0,0,2,1,3,3,No Tier,0.238
CUST00158,Dormant,215,1,812.34,1,1,1,3,0,0,0,0,0,6,1,7,1,No Tier,0.25
CUST00159,At Risk,534,2,3713.77,1,1,4,6,0,0,0,0,0,1,0,1,2,Silver,0.27
CUST00160,Dormant,237,2,1064.66,1,1,1,3,1,37,-0.6,0,0,3,0,3,2,No Tier,0.28500000000000003
CUST00161,Champions,13,7,6171.42,5,5,5,15,0,0,0,0,0.14285714285714285,4,1,5,5,Silver,0.2057142857142857
CUST00162,Regular Customers,151,2,1194.5900000000001,2,1,2,5,0,0,0,0,0,0,0,0,1,Gold,0.29000000000000004
CUST00163,Discount Sensitive,21,2,1100.06,4,1,1,6,0,0,0,0,0,5,2,7,2,Silver,0.38
CUST00164,High Value Unhappy,282,5,4657.03,1,4,4,9,1,9.4,-0.19,0,0,0,0,0,4,Platinum,0.24
CUST00165,Regular Customers,36,4,2287.08,4,3,3,10,0,0,0,0,0,0,0,0,2,Gold,0.265
CUST00166,Regular Customers,37,3,3227.7,4,2,4,10,1,22.8,0.22,0,0,0,0,0,2,Silver,0.24
CUST00167,Dormant,279,1,423.24,1,1,1,3,0,0,0,0,0,2,1,3,1,No Tier,0.24
CUST00168,Champions,12,5,4794.47,5,4,5,14,0,0,0,0,0,1,0,1,4,Platinum,0.172
CUST00169,Dormant,282,1,1799.45,1,1,2,4,0,0,0,0,0,0,0,0,1,Gold,0.12
CUST00170,Champions,16,12,7634.5599999999995,5,5,5,15,1,36.5,-0.48,1,0,0,0,0,3,No Tier,0.26416666666666666
CUST00171,Regular Customers,30,4,3416.04,4,3,4,11,0,0,0,0,0.25,1,0,1,4,No Tier,0.23
CUST00172,High Value Unhappy,44,8,6232.719999999999,3,5,5,13,3,22.03333333333333,-0.4,0,0,5,2,7,4,Silver,0.36125
CUST00173,Discount Sensitive,42,6,2018.8200000000002,3,4,2,9,1,19.2,-0.46,0,0,0,0,0,3,No Tier,0.3566666666666667
CUST00174,Champions,2,7,3507.37,5,5,4,14,2,31.299999999999997,-0.445,1,0.14285714285714285,0,0,0,4,Gold,0.2885714285714286
CUST00175,At Risk,119,4,3568.3199999999997,2,3,4,9,1,30.7,-0.49,0,0,2,0,2,3,No Tier,0.225
CUST00176,High Value Unhappy,9,4,6283.41,5,3,5,13,0,0,0,0,0.25,0,0,0,4,No Tier,0.3025
CUST00177,Champions,12,5,5158.25,5,4,5,14,0,0,0,0,0,0,0,0,3,No Tier,0.374
CUST00178,Champions,32,9,5965.32,4,5,5,14,4,23.599999999999998,-0.6875,0,0.2222222222222222,2,0,2,6,No Tier,0.2544444444444445
CUST00179,Discount Sensitive,35,4,1767.07,4,3,2,9,2,28.95,-0.15,0,0.25,5,2,7,3,Silver,0.4575
CUST00180,Regular Customers,156,2,1570.85,2,1,2,5,1,21,-0.38,0,0.5,0,0,0,1,No Tier,0.26
CUST00181,Regular Customers,34,2,1815.8899999999999,4,1,2,7,0,0,0,0,0.5,4,1,5,2,Silver,0.16
CUST00182,Discount Sensitive,59,2,672.78,3,1,1,5,0,0,0,0,0.5,4,0,4,2,No Tier,0.33499999999999996
CUST00183,At Risk,212,3,3246.8900000000003,1,2,4,7,1,34.7,-1,0,0,4,1,5,3,No Tier,0.25
CUST00184,High Value Unhappy,74,5,5072.85,3,4,5,12,2,20.65,-0.32,0,0,0,0,0,3,Platinum,0.27199999999999996
CUST00185,Champions,24,9,5475,4,5,5,14,0,0,0,0,0,8,1,9,5,No Tier,0.3188888888888889
CUST00186,New Customers,15,2,2279.63,5,1,3,9,1,26.2,-0.09,0,0,0,0,0,2,Platinum,0.26
CUST00187,Discount Sensitive,52,4,2223.79,3,3,3,9,1,24.3,-0.5,1,0,3,1,4,3,No Tier,0.485
CUST00188,High Value Unhappy,89,7,5810.17,3,5,5,13,3,15,-0.81,0,0.14285714285714285,1,0,1,4,Gold,0.3085714285714286
CUST00189,Champions,3,11,8207.06,5,5,5,15,3,24.266666666666666,-0.07,0,0.090909091,4,0,4,6,No Tier,0.2218181818181818
CUST00190,New Customers,17,2,854.78,5,1,1,7,1,45.4,-1,0,0,0,0,0,2,No Tier,0.18
CUST00191,Discount Sensitive,8,3,945.03,5,2,1,8,0,0,0,0,0,2,0,2,3,Silver,0.4133333333333334
CUST00192,Champions,1,6,3657.1499999999996,5,4,4,13,0,0,0,0,0.16666666666666666,4,1,5,5,No Tier,0.35000000000000003
CUST00193,Dormant,217,1,424.74,1,1,1,3,0,0,0,0,0,4,2,6,1,No Tier,0.21
CUST00194,Champions,2,6,4197.11,5,4,4,13,3,22.633333333333336,-0.42,1,0.3333333333333333,9,3,12,4,No Tier,0.3466666666666667
CUST00195,New Customers,2,2,1955.96,5,1,2,8,1,37.4,-1,1,0,0,0,0,2,No Tier,0.3
CUST00196,Regular Customers,84,2,1272.38,3,1,2,6,1,46.6,-0.51,1,0,0,0,0,2,No Tier,0.28
CUST00197,Champions,8,12,11523.66,5,5,5,15,3,39.13333333333333,-0.91,2,0.083333333,0,0,0,6,Silver,0.2725
CUST00198,Champions,25,10,7958.04,4,5,5,14,2,14.7,-0.775,0,0,3,1,4,4,Silver,0.266
CUST00199,High Value Unhappy,48,5,4359.83,3,4,4,11,1,63,-1,1,0,0,0,0,4,Silver,0.242
CUST00200,Champions,25,9,7636.45,4,5,5,14,1,36.4,-0.04,0,0,9,4,13,4,Gold,0.2
CUST00201,High Value Unhappy,153,7,6691.56,2,5,5,12,2,20.7,-0.355,1,0,1,0,1,5,No Tier,0.23857142857142857
CUST00202,Regular Customers,47,2,2363.2200000000003,3,1,3,7,0,0,0,0,0.5,2,1,3,1,No Tier,0.315
CUST00203,Discount Sensitive,174,2,743.3499999999999,2,1,1,4,0,0,0,0,0,2,0,2,2,No Tier,0.39
CUST00204,Loyal Customers,46,6,3646.77,3,4,4,11,0,0,0,0,0,0,0,0,4,Platinum,0.27666666666666667
CUST00205,Champions,6,6,3610.58,5,4,4,13,0,0,0,0,0,5,0,5,5,No Tier,0.22666666666666668
CUST00206,High Value Unhappy,178,10,6479.7,2,5,5,12,3,38.666666666666664,-0.713333333,0,0.1,6,2,8,4,Gold,0.265
CUST00207,Discount Sensitive,78,1,193.1,3,1,1,5,0,0,0,0,0,6,2,8,1,No Tier,0.62
CUST00208,High Value Unhappy,151,6,6865.35,2,4,5,11,1,8.9,-0.8,0,0,3,1,4,4,No Tier,0.20000000000000004
CUST00209,At Risk,339,5,3422.88,1,4,4,9,1,26.5,-1,0,0.2,0,0,0,3,No Tier,0.192
CUST00210,Regular Customers,188,2,1254.8700000000001,2,1,2,5,0,0,0,0,0,0,0,0,2,No Tier,0.27
CUST00211,Champions,27,7,27920.05,4,5,5,14,1,42.3,-0.03,1,0,1,0,1,3,No Tier,0.31714285714285717
CUST00212,Dormant,264,3,2071.6800000000003,1,2,2,5,0,0,0,0,0,2,1,3,3,No Tier,0.32666666666666666
CUST00213,Regular Customers,146,2,1680.61,2,1,2,5,2,24.5,-0.675,0,1,0,0,0,2,No Tier,0.2
CUST00214,Regular Customers,124,1,1427.16,2,1,2,5,0,0,0,0,0,3,0,3,1,No Tier,0.22
CUST00215,Regular Customers,94,3,1564.1,3,2,2,7,1,31.8,-0.89,0,0,8,2,10,2,Silver,0.19666666666666666
CUST00216,Regular Customers,108,1,1349.42,3,1,2,6,1,48,-1,0,1,1,0,1,1,Silver,0.27
CUST00217,Discount Sensitive,139,3,1179.94,2,2,2,6,0,0,0,0,0,0,0,0,2,Silver,0.35333333333333333
CUST00218,Regular Customers,14,4,2728.57,5,3,3,11,0,0,0,0,0.25,0,0,0,2,No Tier,0.11
CUST00219,Dormant,214,6,2782.79,1,4,3,8,1,33.9,-1,0,0,6,1,7,3,Silver,0.36166666666666664
CUST00220,Regular Customers,18,4,1750.5,4,3,2,9,1,18.8,0.57,0,0,7,2,9,4,No Tier,0.25
CUST00221,Discount Sensitive,8,3,1357.66,5,2,2,9,0,0,0,0,0,12,2,14,3,No Tier,0.33
